"CSI코드별",2020.02,2020.03,2020.04,2020.05,2020.06,2020.07,2020.08,2020.09,2020.10,2020.11,2020.12,2021.01,2021.02,2021.03,2021.04,2021.05,2021.06,2021.07,2021.08,2021.09,2021.10,2021.11,2021.12,2022.01,2022.02,2022.03,2022.04,2022.05,2022.06,2022.07,2022.08,2022.09,2022.10,2022.11,2022.12,2023.01,2023.02,2023.03,2023.04
"물가인식",1.8,1.8,1.8,1.7,1.7,1.7,1.8,1.9,1.9,1.8,1.8,1.8,2.0,2.1,2.1,2.1,2.2,2.3,2.4,2.4,2.4,2.7,2.7,2.7,2.8,2.9,3.2,3.4,4.0,5.1,5.1,5.1,5.2,5.1,5.0,5.0,5.2,5.1,4.9
"< 0%",0.7,1.2,2.2,2.8,3.0,1.2,1.0,1.3,0.4,0.6,0.7,0.4,0.4,0.3,0.4,0.3,0.2,0.3,0.2,0.1,0.2,0.1,0.2,0.2,0.0,0.1,0.0,0.0,0.0,0.1,0.2,0.3,0.3,0.2,0.2,0.1,0.1,0.2,0.3
"0-1%",19.9,20.0,21.3,23.8,23.9,23.9,21.5,18.2,19.2,21.1,20.2,22.5,17.8,15.1,14.1,13.2,12.6,11.9,9.5,9.3,8.6,7.5,7.3,7.4,7.1,6.3,4.8,5.3,3.2,1.1,0.9,0.9,1.1,1.1,1.4,1.5,1.1,1.2,1.5
"1-2%",33.6,32.7,31.7,30.2,29.7,30.1,32.2,31.8,30.9,31.6,32.0,30.9,30.7,31.7,31.5,30.6,29.3,28.5,26.8,27.5,26.1,20.9,21.9,19.7,17.9,16.3,14.5,12.5,9.0,4.1,5.3,5.3,5.3,5.2,5.8,5.7,5.1,5.0,5.6
"2-3%",21.5,22.1,21.8,19.8,20.6,20.2,20.0,20.5,21.5,20.6,20.8,20.5,21.7,22.9,22.4,25.8,26.6,26.2,28.6,27.6,30.9,29.8,28.4,29.7,28.4,27.6,24.1,21.9,17.8,9.6,9.5,9.5,9.8,9.5,10.1,10.2,8.7,9.0,11.3
"3-4%",10.2,9.2,8.1,8.4,8.4,8.6,9.6,10.1,9.9,9.4,8.6,8.7,10.1,10.6,11.3,10.5,12.2,12.5,13.2,13.5,13.7,16.7,17.2,17.7,18.1,19.8,21.6,22.5,19.8,14.8,12.4,13.4,12.3,12.6,13.3,13.3,12.5,12.7,13.5
"4-5%",5.0,4.7,5.1,4.9,4.6,5.0,5.7,6.2,6.2,5.4,6.2,6.4,7.0,6.6,7.2,6.4,7.1,7.7,8.5,8.0,7.1,10.5,9.6,9.6,10.8,11.7,15.0,15.3,18.7,17.6,18.1,18.4,17.4,18.4,18.3,18.5,18.0,19.5,19.7
"5-6%",2.6,3.0,2.7,2.8,2.9,3.1,3.4,3.3,3.7,3.4,3.8,3.4,3.7,4.0,3.9,4.5,3.9,3.8,4.2,4.6,4.6,4.6,6.0,5.8,6.5,6.4,7.3,8.6,13.2,20.9,21.0,20.4,21.8,21.9,21.8,22.0,22.5,22.7,19.7
"> 6%",2.8,3.1,2.6,2.5,2.3,2.8,2.7,4.3,3.9,3.1,2.9,3.1,4.4,5.5,5.2,4.7,4.8,5.5,5.9,6.3,5.5,6.7,6.2,7.0,8.2,9.2,10.0,11.4,16.2,30.5,31.1,30.5,31.0,29.9,27.9,27.7,30.9,28.7,26.8
"모르겠다",3.6,3.9,4.5,4.7,4.6,5.0,4.0,4.1,4.3,4.8,4.9,4.1,4.0,3.4,4.0,3.9,3.3,3.7,3.1,3.2,3.2,3.1,3.3,2.9,2.9,2.7,2.7,2.6,2.2,1.3,1.4,1.3,1.1,1.2,1.2,1.0,1.1,1.0,1.4
"기대인플레이션율",1.7,1.7,1.7,1.6,1.6,1.7,1.8,1.9,1.8,1.8,1.8,1.8,2.0,2.1,2.1,2.2,2.3,2.3,2.4,2.4,2.4,2.7,2.6,2.6,2.7,2.9,3.1,3.3,3.9,4.7,4.3,4.2,4.3,4.2,3.8,3.9,4.0,3.9,3.7
"<0%",1.7,4.2,6.2,5.1,4.2,2.3,1.2,1.7,1.0,0.7,1.1,0.7,0.2,0.3,0.3,0.3,0.2,0.3,0.3,0.1,0.2,0.4,0.2,0.3,0.3,0.1,0.3,0.2,0.5,1.4,2.4,2.7,2.4,2.4,2.4,2.1,2.4,2.6,2.7
"0~1%",19.9,21.4,23.1,24.2,23.9,23.6,20.7,19.3,19.9,20.0,18.7,19.6,17.3,13.8,13.1,12.5,11.2,10.9,9.7,9.6,8.7,7.9,8.3,7.8,7.2,6.1,5.4,5.9,2.8,1.5,2.2,2.1,2.3,2.1,3.0,2.9,2.7,2.6,3.4
"1~2%",35.7,30.8,28.2,29.7,30.4,31.1,31.4,31.0,32.5,34.0,34.0,33.1,31.2,32.5,33.2,31.1,29.5,28.3,27.1,27.6,25.8,20.5,21.5,21.8,20.2,17.8,14.8,12.3,10.5,5.3,7.6,8.2,7.7,7.9,9.7,9.5,8.4,9.6,10.5
"2~3%",20.8,20.0,18.8,17.9,19.2,19.9,21.2,20.5,20.7,21.5,20.8,22.1,23.4,24.3,23.4,25.9,28.0,27.3,28.8,28.2,30.9,29.6,29.4,28.9,28.2,27.0,26.2,23.1,17.7,12.2,13.7,15.1,14.0,14.9,17.6,17.6,15.9,15.2,18.5
"3~4%",9.3,8.8,8.4,8.5,7.8,8.7,9.6,10.2,10.0,8.0,8.9,8.3,10.0,10.4,11.2,11.8,12.1,12.8,12.9,13.4,14.0,17.3,16.8,16.2,18.2,19.3,20.5,21.3,18.8,16.2,17.6,17.7,18.0,18.9,19.5,18.9,19.0,20.9,20.6
"4~5%",4.3,4.7,4.8,4.3,4.3,4.7,5.7,6.3,5.3,5.8,6.1,6.2,6.0,5.9,6.6,6.2,7.1,8.2,8.0,7.4,7.7,10.0,10.0,10.3,9.9,11.8,14.3,16.1,17.8,17.2,17.9,18.5,17.9,18.6,17.4,18.1,18.4,19.5,16.8
"5~6%",2.8,3.0,3.0,2.6,2.7,2.7,2.6,3.1,3.6,2.9,2.9,3.5,3.8,4.5,4.2,4.5,4.2,3.9,4.9,5.2,4.4,4.9,5.4,5.2,6.6,6.9,7.3,8.1,14.1,19.6,17.3,17.3,17.9,17.1,15.4,16.8,14.9,15.0,13.2
">6%",2.0,2.7,2.8,2.4,2.1,2.2,3.1,3.4,2.7,2.5,2.7,2.9,4.0,4.3,4.3,3.7,4.1,4.2,5.0,4.7,4.8,5.7,5.3,6.2,5.8,7.8,8.3,9.2,14.4,24.4,19.2,16.9,18.1,16.2,12.6,12.0,16.5,12.5,12.0
"모르겠다",3.5,4.4,4.7,5.3,5.3,4.6,4.5,4.5,4.2,4.6,4.7,3.8,4.1,4.0,3.8,3.8,3.6,4.2,3.3,3.8,3.6,3.6,3.2,3.2,3.6,3.2,2.9,3.8,3.3,2.2,2.0,1.6,1.7,2.0,2.3,2.1,1.8,2.0,2.3
